danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,popularity,release_date_ordinal
0.577,0.604,-5.703,0.0495,0.000218,0.000579,0.477,0.637,167.719,6tsojOQ5wHaIjKqIryLZK6,263440,68,732468
0.599,0.957,-5.764,0.188,0.0129,7.06e-05,0.155,0.489,103.68,1wsRitfRRtWyEapl0q22o8,206200,67,730060
0.601,0.757,-3.341,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,3SWqGa1J0M7hSBUDM0KePD,189120,67,736615
0.509,0.843,-3.318,0.0488,0.000671,0.000803,0.348,0.332,140.055,1gyee1JuFFiP476LQpRMYU,238400,66,730851
0.47,0.947,-4.122,0.0929,0.000141,0.29,0.127,0.394,162.052,71fSn6OIF7HnCbgCzOBqpj,222240,66,732677
0.55,0.952,-4.664,0.0924,0.000193,0.000666,0.0614,0.391,127.804,5ynxx6zC4dgzsMHLYQ04Dc,207213,66,731947
0.274,0.92,-4.096,0.0489,0.0303,0.000412,0.115,0.0397,154.016,6oO7WMjD6kEvCITLbVj0mu,189440,66,732272
0.438,0.905,-6.161,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,2V4Bc2I962j7acQj1N0PiQ,162667,65,729390
0.457,0.902,-5.624,0.0313,2.17e-05,0.196,0.258,0.834,92.711,1jMaB19DiVR8OihLSuYFOt,246920,64,730060
0.58,0.894,-6.382,0.042,0.000136,0.369,0.286,0.566,125.596,3GcVQCRSaPNupmf65YKyQI,185960,64,727996
0.509,0.584,-4.907,0.057,0.0368,9.96e-05,0.384,0.685,170.411,6y20BV5L33R8YXM0YuI38N,278747,45,730620
0.426,0.929,-6.729,0.0701,0.00162,0.105,0.0789,0.539,127.059,1MQTmpYOZ6fcMQc56Hdo7T,205600,68,730851
0.588,0.927,-4.776,0.113,0.000305,3.83e-05,0.195,0.652,93.571,1PJRDeZSoZk7gtisdTYfLi,175227,63,730486
0.286,0.728,-6.608,0.0616,0.000174,0.836,0.133,0.467,171.441,0pwObEOHolQZSldJ2q1wpy,312120,63,728919
0.559,0.931,-5.863,0.0721,0.00318,1.24e-05,0.0624,0.644,90.911,5DooySfCD1xCJ49gQm9rx7,190760,63,730739
0.71,0.811,-4.079,0.0431,0.00105,2.08e-06,0.0677,0.914,123.048,5sN9dKen95dAV2c9CZIZrE,199200,39,732485
0.452,0.873,-4.867,0.0613,0.000519,0.0,0.0592,0.433,80.473,1TDk2Jmi4dVZhm2dum3Jim,222027,63,731171
0.417,0.63,-7.24,0.0898,0.0209,0.0134,0.0543,0.341,94.214,2LMq1O0NiqGhPOlXo3McYQ,254533,62,732842
0.383,0.9,-5.42,0.134,0.00085,1.94e-06,0.271,0.286,183.96,6EaGMOSWL2LndwY6gClBaD,214797,62,736468
0.442,0.951,-5.27,0.11,0.00648,1.12e-06,0.0887,0.158,154.004,42GP0xKtkolBnmqQRvSllO,374973,62,731961
0.328,0.826,-5.085,0.0362,0.000224,0.000944,0.0818,0.341,106.606,6264zKFgXM13JuRBX4MMyD,282093,61,729857
0.142,0.92,-4.426,0.115,2.65e-05,0.00518,0.126,0.193,171.763,1wrhhPzd2ncJPNgUcGgBGg,256333,61,727099
0.623,0.936,-9.955,0.0528,0.000617,9.86e-05,0.269,0.705,101.514,0psB5QzGb4653K0uaPgEyh,217133,55,735520
0.301,0.807,-6.258,0.0695,0.000881,0.112,0.0849,0.595,84.051,0bGImSqDB2ebdeoCidUC8o,173280,60,732312
0.219,0.952,-3.621,0.176,5.1e-05,0.0989,0.157,0.172,112.886,3CkjLJYnnyOtGk4Jx4iYS4,176307,60,738029
0.32,0.909,-4.612,0.0412,1.62e-05,0.139,0.0443,0.21,109.649,3TjQAc2PzWzlSDrnq61J1y,238653,61,736118
0.411,0.893,-3.646,0.139,0.00563,0.00967,0.149,0.513,170.407,2QiqwOVUctPRVggO9G1Zs5,363853,60,727198
0.421,0.95,-3.985,0.0768,1.21e-05,0.000214,0.314,0.553,80.912,1X4Ntw6Lbaa1ACgilCqMpr,205027,60,730739
0.246,0.991,-3.903,0.087,0.00944,0.0753,0.867,0.415,159.39,0wzRcekWyVCSyPtlPOeJau,187147,64,730851
0.409,0.992,-2.803,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,3HhaSocKwTptze7PySNZlW,200677,59,736209
0.55,0.938,-3.556,0.0522,0.00171,2.18e-05,0.555,0.433,133.99,26VG1uCazw9xtVnq8A1vtd,214493,60,733386
0.622,0.842,-3.678,0.0609,0.00342,0.00014,0.0575,0.724,136.041,3eSyMBd7ERw68NVB3jlRmW,235600,58,737007
0.525,0.85,-5.469,0.0678,0.0571,0.0,0.0555,0.275,134.115,5cRPdqpWkaNmIbPi6wJDg2,227847,58,736468
0.344,0.972,-3.675,0.116,8.48e-05,0.0,0.293,0.387,167.819,4XOZaPYeMn9hcbpyS90NnD,208187,58,732312
0.497,0.916,-3.323,0.108,0.000323,0.0,0.36,0.401,96.051,3aniWcwiiYKHpm3F5TdeKD,215004,57,737720
0.341,0.764,-4.841,0.202,0.0362,2.41e-06,0.0817,0.239,128.931,0AVIswXP3Q5FnlorjU0DbI,207142,56,737000
0.315,0.826,-4.314,0.0636,0.00064,0.000687,0.0703,0.359,139.161,6p8DGrcAUBuLUgDIKcUn0P,256072,56,736627
0.461,0.892,-4.807,0.0901,0.00187,1.34e-06,0.0942,0.35,137.35,4A0LV6W7IUKPP2pyAZ356E,245196,56,736587
0.539,0.977,-3.738,0.0743,0.00441,0.0,0.943,0.261,104.978,77BfOPXhlnNaSbg647qkx2,215147,56,732814
0.441,0.845,-3.315,0.0462,3.28e-06,0.0533,0.723,0.304,113.989,0Fl8ciGpmcUezzgaSKvysd,237907,56,733679
0.544,0.921,-4.03,0.0512,0.000504,0.0,0.391,0.603,95.018,7qCzenL7S1onPt6QdRsDsd,198000,56,737658
0.528,0.861,-4.309,0.0518,0.0108,0.0,0.268,0.591,95.02,5LV0oQV98daZAUoWnQEW6N,187372,56,736783
0.473,0.792,-3.171,0.0421,0.000103,0.0495,0.154,0.587,169.975,3HUB8GPbaGpIpjRoONLJP4,130588,55,737770
0.539,0.883,-6.614,0.0652,0.00451,1.38e-06,0.0606,0.405,118.058,2RDgs05sg2vrpwiAEUkWd0,226107,55,729025
0.342,0.677,-11.906,0.0568,0.0013,0.00671,0.201,0.501,188.6,5sTVykpRs4eiZKn96bZogj,207360,55,731947
0.646,0.851,-4.22,0.0655,0.0061,0.0,0.63,0.328,129.917,2xLnCpQUbDL1Vsmfaoj089,208396,55,737560
